texte,label
"Peut-être que je devrais demander l'avis de mes parents avant de décider",hésitant
"Je ne suis pas vraiment certain de l'utilité de ce diplôme pour moi",hésitant
"C'est un peu un pari, je ne sais pas du tout où ça va me mener",hésitant
"Euh, je crois que j'ai envoyé les bons documents, enfin je l'espère",hésitant
"Je ne sais pas trop comment me positionner par rapport à ce projet",hésitant
"C'est possible que je me sois trompé de voie, je me pose la question",hésitant
"Je ne suis pas sûr d'avoir bien saisi les enjeux de cette bourse",hésitant
"Hmm, je vais y réfléchir encore un peu avant de donner une réponse",hésitant
"Ce n'est pas très clair pour moi, tout ça reste assez théorique",hésitant
"Je suppose qu'il faut bien tenter sa chance de temps en temps",hésitant
"Je ne sais pas si j'ai vraiment envie de partir étudier à l'étranger",hésitant
"Euh, c'est-à-dire que... je n'ai pas encore de réponse définitive",hésitant
"Je me demande si ce n'est pas trop tard pour changer de sujet",hésitant
"Je ne suis pas convaincu que ce soit le meilleur moment pour postuler",hésitant
"C'est une idée comme une autre, je ne sais pas si elle est géniale",hésitant
"Peut-être que je pourrais faire les deux en même temps, ou pas",hésitant
"Je ne suis pas certain de pouvoir tenir le rythme, on verra bien",hésitant
"C'est assez flou, je navigue un peu à vue pour l'instant",hésitant
"Euh, je ne sais pas trop quoi dire sur mes motivations réelles",hésitant
"Je suppose que ça pourrait m'intéresser, si les conditions sont bonnes",hésitant
"Je ne suis pas sûr que mon dossier soit vraiment complet ou pertinent",hésitant
"C'est un peu par hasard que je me suis retrouvé à postuler ici",hésitant
"Je me demande si je ne devrais pas chercher un travail plutôt",hésitant
"Je ne suis pas totalement emballé, mais c'est une sécurité",hésitant
"Euh, je pense que j'ai un peu de temps pour me décider, non ?",hésitant
"Je ne sais pas si je suis capable de finir ce que j'ai commencé",hésitant
"C'est possible que je laisse tomber si c'est trop difficile",hésitant
"Je ne suis pas sûr de vouloir faire carrière dans ce domaine-là",hésitant
"Hmm, c'est embêtant, je ne sais pas quelle option choisir",hésitant
"Je suppose que c'est une étape nécessaire, même si c'est flou",hésitant
"Je ne sais pas si j'ai bien fait de choisir cette spécialité",hésitant
"Euh, voilà, c'est un peu tout ce que j'ai à dire pour le moment",hésitant
"Je me demande si je n'aurais pas dû postuler ailleurs",hésitant
"Je ne suis pas certain d'avoir compris les critères de sélection",hésitant
"C'est un projet qui demande réflexion, je ne suis pas pressé",hésitant
"Peut-être que je vais faire une pause et reprendre plus tard",hésitant
"Je ne suis pas sûr de ce qu'on attend vraiment de moi ici",hésitant
"Euh, c'est un peu compliqué à expliquer, c'est un sentiment",hésitant
"Je suppose que je vais suivre le mouvement et voir où ça mène",hésitant
"Je ne sais pas si je suis au bon endroit, j'ai des doutes",hésitant
"C'est possible que je n'aie pas bien calculé mon coup",hésitant
"Je ne suis pas convaincu par les débouchés de cette formation",hésitant
"Hmm, je ne sais pas si c'est vraiment ce que je veux faire",hésitant
"Je me demande si je ne perds pas mon temps avec ce dossier",hésitant
"Je ne suis pas sûr d'avoir la maturité nécessaire pour ce projet",hésitant
"Euh, je vais peut-être essayer, mais sans garantie de succès",hésitant
"Je suppose que c'est mieux que rien, enfin je crois",hésitant
"Je ne sais pas si je peux concilier mes loisirs et ces études",hésitant
"C'est un peu bizarre, je ne me sens pas vraiment concerné",hésitant
"Peut-être que je devrais revoir mes priorités avant d'avancer",hésitant
"Je ne suis pas certain d'aimer ce que je fais actuellement",hésitant
"Euh, c'est une bonne question, je vous redirai ça plus tard",hésitant
"Je me demande si je ne suis pas en train de faire une erreur",hésitant
"Je ne suis pas sûr de mon choix de sujet pour le mémoire",hésitant
"C'est possible que j'aie besoin d'un mentor pour m'aider à décider",hésitant
"Je ne suis pas convaincu que cette bourse soit faite pour moi",hésitant
"Hmm, c'est assez incertain comme situation, je trouve",hésitant
"Je suppose que je vais tenter le coup, on ne sait jamais",hésitant
"Je ne sais pas si j'ai le courage de passer cet entretien",hésitant
"Euh, je ne sais pas trop si c'est le bon profil pour vous",hésitant
"Je me demande si je ne devrais pas recommencer à zéro ailleurs",hésitant
"Je ne suis pas sûr d'être à la hauteur de vos espérances",hésitant
"C'est un peu ambigu comme projet, je l'avoue",hésitant
"Peut-être que je vais juste voir comment ça se passe au début",hésitant
"Je ne suis pas certain d'avoir la motivation nécessaire demain",hésitant
"Euh, je pense que je vais attendre un peu avant de m'engager",hésitant
"Je suppose que je pourrais m'adapter, si c'est indispensable",hésitant
"Je ne sais pas si je suis vraiment passionné par ce métier",hésitant
"C'est possible que je change d'avis après le premier semestre",hésitant
"Je ne suis pas convaincu par l'intérêt de cette recherche",hésitant
"Hmm, je ne sais pas si j'ai bien résumé ma situation",hésitant
"Je me demande si je n'ai pas fait ce choix par défaut",hésitant
"Je ne suis pas sûr de savoir vers quoi je me dirige vraiment",hésitant
"Euh, c'est-à-dire que... je n'ai pas encore tout calé",hésitant
"Je suppose que c'est une expérience à vivre, sans plus",hésitant
"Je ne sais pas si je suis la meilleure personne pour ce poste",hésitant
"C'est un peu vague tout ça, j'aimerais plus de précisions",hésitant
"Peut-être que je vais demander un report de ma candidature",hésitant
"Je ne suis pas certain de vouloir assumer ces responsabilités",hésitant
"Euh, je ne sais pas trop comment finir cette phrase, en fait",hésitant
"Je me demande si je ne suis pas un peu trop jeune pour ça",hésitant
"Je ne suis pas sûr de la direction que prend mon parcours",hésitant
